ID,Life expectancy
0,65.0
1,59.9
2,59.9
3,59.5
4,59.2
5,58.8
6,58.6
7,58.1
8,57.5
9,57.3
10,57.3
11,57.0
12,56.7
13,56.2
14,55.3
15,54.8
16,77.8
17,77.5
18,77.2
19,76.9
20,76.6
21,76.2
22,76.1
23,75.3
24,75.9
25,74.2
26,73.5
27,73.0
28,72.8
29,73.3
30,73.6
31,72.6
32,75.6
33,75.4
34,75.3
35,75.1
36,74.9
37,74.7
38,74.4
39,74.1
40,73.8
41,73.4
42,72.9
43,72.3
44,71.7
45,71.6
46,71.4
47,71.3
48,52.4
49,51.7
50,51.1
51,56.0
52,51.0
53,49.6
54,49.1
55,48.7
56,48.2
57,47.7
58,47.4
59,47.1
60,46.8
61,46.5
62,45.7
63,45.3
64,76.4
65,76.2
66,76.1
67,75.9
68,75.7
69,75.6
70,75.4
71,75.2
72,75.0
73,74.8
74,74.6
75,74.4
76,74.2
77,74.0
78,73.8
79,73.6
80,76.3
81,76.2
82,76.0
83,75.9
84,75.7
85,75.5
86,75.6
87,75.4
88,74.8
89,75.2
90,74.9
91,74.7
92,74.1
93,74.1
94,74.0
95,74.1
96,74.8
97,74.6
98,74.4
99,74.4
100,73.9
101,73.5
102,73.3
103,73.2
104,73.5
105,72.9
106,73.0
107,73.0
108,72.7
109,72.6
110,72.6
111,72.0
112,82.8
113,82.7
114,82.5
115,82.3
116,82.0
117,81.9
118,81.7
119,81.3
120,81.3
121,81.2
122,81.0
123,86.0
124,83.0
125,79.9
126,79.9
127,79.5
128,81.5
129,81.4
130,81.1
131,88.0
132,88.0
133,84.0
134,82.0
135,84.0
136,81.0
137,79.8
138,79.4
139,79.3
140,78.8
141,78.7
142,78.6
143,78.1
144,72.7
145,72.5
146,72.2
147,71.9
148,71.6
149,71.1
150,78.0
151,73.0
152,73.0
153,69.2
154,68.4
155,68.4
156,67.8
157,67.8
158,67.5
159,66.6
160,76.1
161,75.4
162,74.8
163,74.9
164,75.0
165,75.0
166,74.6
167,74.5
168,74.4
169,74.2
170,74.1
171,73.8
172,73.2
173,73.1
174,72.9
175,72.6
176,76.9
177,76.8
178,76.7
179,76.5
180,76.1
181,76.1
182,76.0
183,75.8
184,75.6
185,75.5
186,75.3
187,75.2
188,75.0
189,74.9
190,74.7
191,74.5
192,71.8
193,71.4
194,71.0
195,77.0
196,73.0
197,69.9
198,69.5
199,69.1
200,68.6
201,68.2
202,67.8
203,67.3
204,66.8
205,66.3
206,65.8
207,65.3
208,75.5
209,75.4
210,75.2
211,75.1
212,74.9
213,74.7
214,74.6
215,74.4
216,74.2
217,74.1
218,73.9
219,73.8
220,73.7
221,73.5
222,73.4
223,73.3
224,72.3
225,72.0
226,71.7
227,71.9
228,72.0
229,73.0
230,70.0
231,70.0
232,69.8
233,68.9
234,68.1
235,68.2
236,67.7
237,67.2
238,67.7
239,68.0
240,81.1
241,89.0
242,87.0
243,83.0
244,83.0
245,80.0
246,79.8
247,79.5
248,79.5
249,79.4
250,78.9
251,78.8
252,78.3
253,78.0
254,78.0
255,77.6
256,71.0
257,70.0
258,69.8
259,69.4
260,69.4
261,69.5
262,69.5
263,69.6
264,69.6
265,69.4
266,69.0
267,68.7
268,68.4
269,68.5
270,68.2
271,68.3
272,60.0
273,59.7
274,59.5
275,59.3
276,59.1
277,58.7
278,58.4
279,57.6
280,57.1
281,56.8
282,56.5
283,56.1
284,55.8
285,55.6
286,55.5
287,55.4
288,69.8
289,69.4
290,69.1
291,68.7
292,68.3
293,67.9
294,67.4
295,67.0
296,66.5
297,65.8
298,65.0
299,64.2
300,63.3
301,62.5
302,61.7
303,62.0
304,77.0
305,74.0
306,71.0
307,69.8
308,69.3
309,68.7
310,68.0
311,67.4
312,66.8
313,66.2
314,65.7
315,65.1
316,64.5
317,63.9
318,63.3
319,62.6
320,77.4
321,77.2
322,77.0
323,76.8
324,76.9
325,76.4
326,76.1
327,76.0
328,75.4
329,75.7
330,75.0
331,75.5
332,75.2
333,75.4
334,74.9
335,74.6
336,65.7
337,65.1
338,64.2
339,63.4
340,62.2
341,61.1
342,59.2
343,57.5
344,56.9
345,54.8
346,51.7
347,48.1
348,46.4
349,46.0
350,46.7
351,47.8
352,75.0
353,74.8
354,74.7
355,74.5
356,74.1
357,73.8
358,73.6
359,73.4
360,73.3
361,73.0
362,72.7
363,72.0
364,71.8
365,71.4
366,71.0
367,75.0
368,77.7
369,77.6
370,77.1
371,78.3
372,77.4
373,76.9
374,76.8
375,77.2
376,76.0
377,76.3
378,76.2
379,76.4
380,76.0
381,74.8
382,74.7
383,74.4
384,74.5
385,74.3
386,74.1
387,73.9
388,73.7
389,73.4
390,73.2
391,72.9
392,72.6
393,72.2
394,72.1
395,72.2
396,72.0
397,71.8
398,71.6
399,71.1
400,59.9
401,59.3
402,59.0
403,58.6
404,58.1
405,57.5
406,56.9
407,56.1
408,55.3
409,54.3
410,53.3
411,52.4
412,51.6
413,51.0
414,56.0
415,51.0
416,59.6
417,59.1
418,58.6
419,58.0
420,57.4
421,56.8
422,56.2
423,55.3
424,54.8
425,54.1
426,53.4
427,52.6
428,51.9
429,51.5
430,51.3
431,58.0
432,53.3
433,52.8
434,52.3
435,52.0
436,51.7
437,51.5
438,51.0
439,54.0
440,49.9
441,49.4
442,48.7
443,48.2
444,48.0
445,47.7
446,47.8
447,47.9
448,73.3
449,73.0
450,72.8
451,72.7
452,72.6
453,72.5
454,72.4
455,72.4
456,72.3
457,72.1
458,71.8
459,71.4
460,71.1
461,77.0
462,73.0
463,69.9
464,68.7
465,68.3
466,67.8
467,67.4
468,67.0
469,66.6
470,66.1
471,65.6
472,65.0
473,64.1
474,62.9
475,61.5
476,63.0
477,59.3
478,58.5
479,57.7
480,57.3
481,56.7
482,56.4
483,55.9
484,55.6
485,55.3
486,54.8
487,54.2
488,53.6
489,53.3
490,52.8
491,52.1
492,51.8
493,51.6
494,51.5
495,51.4
496,82.2
497,82.0
498,81.8
499,81.6
500,81.5
501,81.2
502,81.0
503,87.0
504,85.0
505,85.0
506,81.0
507,80.0
508,79.7
509,79.5
510,79.4
511,79.1
512,52.5
513,58.0
514,49.9
515,53.0
516,49.8
517,49.2
518,48.6
519,47.6
520,46.8
521,46.3
522,45.9
523,45.7
524,45.7
525,45.6
526,45.6
527,46.0
528,53.1
529,52.6
530,52.2
531,51.8
532,51.6
533,51.2
534,57.0
535,49.6
536,49.4
537,48.5
538,48.6
539,48.5
540,48.4
541,48.1
542,48.0
